ID,adj.P.Val,logFC,GI,Gene.symbol,Gene.title
ILMN_1752589,1.85e-10,-0.31742374,115529436,TMEM183A,transmembrane protein 183A
ILMN_1654566,1.93e-10,0.58638347,124256495,HSPA1L,heat shock protein family A (Hsp70) member 1 like
ILMN_1661636,1.98e-10,-0.66644235,597955375,ZMYM2,zinc finger MYM-type containing 2
ILMN_1782829,1.99e-10,-0.65190573,163914391,GLTSCR1,glioma tumor suppressor candidate region gene 1
ILMN_1793829,2.03e-10,0.81246507,371872751,TMCO1,transmembrane and coiled-coil domains 1
ILMN_1737588,2.04e-10,0.61418608,999809126,C21orf33,chromosome 21 open reading frame 33
ILMN_1773809,2.05e-10,-0.34601728,60498988,FOXP4,forkhead box P4
ILMN_1784523,2.05e-10,-0.43532507,87159820,ATP6V1G1,ATPase H+ transporting V1 subunit G1
ILMN_1681283,2.05e-10,-0.97256207,194473733,HIF1A,hypoxia inducible factor 1 alpha subunit
ILMN_1661664,2.05e-10,-0.50223122,NA,,
ILMN_1805192,2.05e-10,-0.80295179,436408727,ITPRIP,inositol 1,4,5-trisphosphate receptor interacting protein
ILMN_1799028,2.05e-10,0.52737544,269995959,TSPAN5,tetraspanin 5
ILMN_1769383,2.07e-10,1.29081041,313760632,GIMAP5,GTPase, IMAP family member 5
ILMN_1663489,2.10e-10,-0.5258824,296317266,UBR2,ubiquitin protein ligase E3 component n-recognin 2
ILMN_3181420,2.15e-10,-0.46293963,NA,,
ILMN_1677877,2.29e-10,0.80029768,NA,,
ILMN_3260345,2.34e-10,-0.96050593,206597508,AGFG1,ArfGAP with FG repeats 1
ILMN_3244323,2.35e-10,0.67151378,211971044,LOC148413,uncharacterized LOC148413
ILMN_1723843,2.35e-10,0.48335158,38708325,CSNK2A2,casein kinase 2 alpha 2
ILMN_1686645,2.35e-10,0.50102949,221316690,UTP14C,UTP14, small subunit processome component homolog C (S. cerevisiae)
ILMN_1666553,2.36e-10,0.48750875,186928855,SLC25A19,solute carrier family 25 member 19
ILMN_1791483,2.42e-10,-1.05608955,157277986,PDE4D,phosphodiesterase 4D
ILMN_2064898,2.42e-10,0.92235165,419635986,COA3,cytochrome c oxidase assembly factor 3
ILMN_2320853,2.45e-10,-0.6387409,514825566,UBE2D3,ubiquitin conjugating enzyme E2 D3
ILMN_1660359,2.68e-10,-0.63960607,NA,,
ILMN_1791067,2.81e-10,0.48987319,66932998,TESK1,testis-specific kinase 1
ILMN_1684591,2.81e-10,0.45385857,548962014,ZSCAN32,zinc finger and SCAN domain containing 32
ILMN_1815148,2.89e-10,-0.57694841,1005261045,MAN2A2,mannosidase alpha class 2A member 2
ILMN_1750805,2.92e-10,0.59708236,71040097,ARHGAP30,Rho GTPase activating protein 30
ILMN_3242357,3.14e-10,-0.5108958,NA,,
ILMN_1763568,3.20e-10,0.84966679,568214867,ZDHHC16,zinc finger DHHC-type containing 16
ILMN_1806867,3.24e-10,0.50137237,386869321,PPM1G,protein phosphatase, Mg2+/Mn2+ dependent 1G
ILMN_1802106,3.31e-10,1.07410548,304282223,APOBEC3G,apolipoprotein B mRNA editing enzyme catalytic subunit 3G
ILMN_2397024,3.37e-10,0.59752854,56117833,SPOP,speckle type BTB/POZ protein
ILMN_1775937,3.38e-10,0.51860791,387598069,DDB1,damage specific DNA binding protein 1
ILMN_1774087,3.39e-10,-0.69117414,NA,,
ILMN_1758658,3.40e-10,0.60378157,215820647,FADD,Fas associated via death domain
ILMN_1703123,3.41e-10,-1.21843997,224593753,CSRNP1,cysteine and serine rich nuclear protein 1
ILMN_1738866,3.51e-10,0.76668947,33620720,DEXI,Dexi homolog
ILMN_1800197,3.51e-10,0.73059959,169646212,MRPL36,mitochondrial ribosomal protein L36
ILMN_1670079,3.53e-10,0.55377409,733214372,OMA1,OMA1 zinc metallopeptidase
ILMN_1778238,3.60e-10,0.6043628,49574528,UTP6,UTP6, small subunit processome component
ILMN_1664921,3.72e-10,-0.40085989,183603927,PPP6C,protein phosphatase 6 catalytic subunit
ILMN_3233871,3.73e-10,-0.74305625,401709969,ATXN1L,ataxin 1 like
ILMN_3252383,3.77e-10,-0.63594184,NA,,
ILMN_1687884,3.79e-10,0.36315049,538919115,ZNF2,zinc finger protein 2
ILMN_3292163,3.79e-10,0.56823758,NA,,
ILMN_1705907,3.79e-10,-0.90276857,503774355,NUP153,nucleoporin 153
ILMN_1712026,3.82e-10,-1.12744397,208879437,NLRP3,NLR family pyrin domain containing 3
ILMN_1754421,3.99e-10,0.57065617,362999005,NDUFAF1,NADH:ubiquinone oxidoreductase complex assembly factor 1
ILMN_1775304,4.02e-10,-1.02516095,665505917,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1
ILMN_1664931,4.08e-10,0.64176561,115511050,GTF2E2,general transcription factor IIE subunit 2
ILMN_1677953,4.08e-10,0.44501416,94536835,OGFOD1,2-oxoglutarate and iron dependent oxygenase domain containing 1
ILMN_1771697,4.08e-10,0.72509687,71164887,VRK3,vaccinia related kinase 3
ILMN_1815445,4.08e-10,-0.79632014,262118208,IDS,iduronate 2-sulfatase
ILMN_1813256,4.22e-10,0.67256267,564730677,CRIPT,CXXC repeat containing interactor of PDZ3 domain
ILMN_1857915,4.37e-10,0.72008119,NA,,
ILMN_3288783,4.46e-10,-0.81502757,NA,,
